,comment
180,"Música Bíblica, que aquece nosso coração para cumprir o maior mandamento que nosso cristo nos deixou. Obrigado por essa canção Mauro, Deus abençoe cada dia mais"
181,"Com tanto gospel falando bobagem, quando  ouço uma música pregando realmente o evangelho fico tão feliz... Mauro é talentoso pra caramba!"
182,"Em meio à tantas músicas ""cristãs"" emocionais e repetitivas, essa canção é um oásis no deserto. Nos remete ao compromisso simples, objetivo e sério que o evangelho propõe."
183,"Mauro, infelizmente temos poucos músicos cristãos brasileiros responsáveis pelo que pregam. É nessas horas que entendo porquê sempre gostei do Oficina G3 e nunca me enjôo, e é muito bom ver que vc é mais um responsável com o que prega para o seu público. É inexplicável a lucidez e sentimento que esta música traz... Deus seja contigo sempre, brother!"
184,"Filhinhos, não amemos só de palavra ou de aparência, mas em verdade, mostrando-o pelas nossas ações. 
1João 3:18🥰❤️🔥 , que unção,que Deus continue abençoando você 🙌🏾"
185,"O defeito dessa música é que é mto rápida aí acaba logo, diminui esses bpm aí Mauro, pra a gente curtir mais um pouquinho rsrs"
186,"Um cara com esse talento todo e enorme, com humildade pra dizer ""também sou teu pequenino"" pra fechar essa música linda demais. Parabéns, super Mauro."
187,"Que isso jovem ?!
Além de ser um super clipe, essa canção é riquíssima. Letra, arranjo, voz. Perfeita. Deus abençoe você Mauro."
188,"MAURO HENRIQUE E FERNANDINHO!!
Quem apoia esse duo? 🔥"
189,"Mauro Henrique, eu chorei depois de ouvir essa canção várias vezes, depois de entender tudo que Deus queria falar através desse louvor, eu agradeço a Deus pela sua vida e por ser um canal de bênçãos na vida de muitos, entendi tudo antes de ver a reflexão da canção e depois só conformei assistindo a reflexão, continue assim deixando Deus usar você, você certamente é um pequenino de Deus."
190,"A vida inteira me escondendo pra não te encontrar
Te transformei num jeito de pensar
Em uma lei que eu tinha que guardar
Imitei canções e versos pra impressionar"
191,Falou demais ao meu coração. O que a alma que realmente quer encontrar Cristo grita...
192,Essa música nos inspira a viver o evangelho verdadeiro ❤
193,ESSA É A VOZ MAIS LINDA DO MUNDOOOOOOOOOOOOOOOOOOOOOOOOOOOOO GLÓRIA A DEUS POR ESSA VOZ E PELA MENSAGEM.
194,"A primeira vez ouvi meio por cima, quase nem prestei atenção na letra, então escutei de novo e não consigo mais parar. Que letra maravilhosa, isso é evangelho!"
195,"""Pois eu também sou seu pequenino"" Aleluia!"
196,"Para mim um dos melhores artistas! Além de uma versatilidade vocal incrível, é  multi-instrumentista  talentoso e criativo. Suas canções são poéticas, e cheias de ideias relevantes, que são bem interpretadas pelo cantor. A junção de todos os seus recursos musicais, nos levam a uma profunda reflexão..."
197,Letra maravilhosa😭🤩❤
198,Deus seja louvado! Deus te abençoe Mauro!
199,Cara chorei Mauro Que Benção de canção q voz magnífica Que Deus continue abençoando Toda a sua vida
200,"meu deus  eu nao paro de refleti sobre o pequenino 
obrigado Mauro Henrique"
201,Mauro começou 2020 com tudo... Parabéns ....❤️🎶
202,"""Ainda que eu falasse as línguas dos homens e dos anjos, se não tiver caridade, sou como o bronze que soa, ou como o címbalo que retine.
Mesmo que eu tivesse o dom da profecia, e conhecesse todos os mistérios e toda a ciência; mesmo que tivesse toda a fé, a ponto de transportar montanhas, se não tiver caridade, não sou nada."
203,"Do nada achei essa canção, e não consigo parar de ouvir, muito inspiradora."
204,"Mauro meu filho de 1 ano pode ouvir todas as playlist que existir, mais só dorme depois que ouve sua voz cara. Kkkk
Cara Deus te abençoe cada vez mais."
205,ouvir sua musica me deixa com o meu coraçao transbordando de felicidade. otmas palavras parabens pelo dom. =)
206,"Mano querido do Coração !!!!

Pois eu também sou Teu pequenino  !  [Ouvir e Assistir em Loop sem parar] "
207,Viciada nessa canção!!!!!
208,Melhor música que o Mauro ja fezz
209,"Mauro, você não tem ideia do soco que essa música me deu... Fiquei em choque! Muito forte essa letra. Que o Senhor Deus te abençoe a cada dia mais!"
210,"rapaz... letra, arranjo e voz! que música incrível, que letra incrível! Deus te abençoe, meu irmão"
211,"EU 
NÃO 
CONSIGO 
PARAR "
212,Esse refrão da canção é MT lindo parabéns pelo dom
213,Repito: Estou descobrindo as melhores músicas nesta pandemia.
214,"É, não  tem nenhuma recomendação vinda através de supercombo/scatolove que seja ruim, melhor ainda qnd edifica S2"
215,"Amo essa canção ❤️
Muito linda 👏🏼👏🏼👏🏼👏🏼"
216,Que mensagem forte!!! Glória a Deus!
217,"Que música é essa parabéns, ouvindo toda hora, top demais. Deus abençoe"
218,Quando alimentei enfim vi Cristo! ❤️
219,"""Quando abracei, quando visitei, quando alimentei, enfim vi Cristo"" ...  Meu novo vício! Música linda, letra linda. Que essa canção alcance muitas vidas."
220,"Que música maravilhosa, cara!
 ""Quando alimentei enfim vi Cristo"""
221,"E eu achando que não ia levar outro tapa na cara igual ao de quando ouvi sua versão de aonde está Deus, tomei kkkkkk"
222,"Deus te abençoe por esse imenso talento de compor uma música tão tocante,,, estou emocionado 👏🏻👏🏻👏🏻"
223,"Musica divina, trabalho incrível Mauro! 
Obrigado por essa canção!"
224,"Já deu certo Mauro, que linda música"
225,Que mais músicas e cantores assim!
226,ATRAVES DE VOCE MAURO MUITAS PESSOAS VAO SE CONVERTER E SE ENTREGAR A JESUS
227,"Aeee Mauro, quando estava desviada voltei a ouvir oficina e o show DDG me fez voltar a atenção novamente a Cristo! Mas de todas, João me faz chorar toda vez que ouço! Muito obrigado, Deus abençoe sua caminhada irmão 🙏🏻"
228,"Mauro, você é incrível cara. Deus te abençoe sempre!"
229,"Parabéns, Mauro! Que canção linda!! Não somente o amor que sinto nas suas canções, mas a unção que transmite faz a diferença nos dias de hoje. Deus abençoe!"
230,"Conheci hoje, e cara... fantástico! Grava ai: VOCÊ IRÁ LONGEEEEEEE!"
231,"Surpreendida em cada detalhe. Bom mesmo. Bom demais da conta, como diria aqui no meu Goiás!
A letra é uma pregação maravilhosa!!!"
232,Acho que Deus te usou pra falar comigo através dessa canção!!!
233,"Tudo lindo, voz linda, música linda, mas esse visual teen já deu..."
234,"Pensa numa música que falou comigo. Cara música muito linda, está de parabéns continue sempre assim  deixe  Deus te usar."
235,Amei Mauro... Deus venha te inpirar muito.. Blessed!
236,"Cara, a essência! E é tão simples, ficamos procurando como complicar...Parabéns pela sensibilidade"
237,"Mano, que coisa massa! Música linda! Deus lhes abençoe!"
238,"Deus te abençoe sempre , e esse DOM seja usado sempre para obra divina !"
239,"Mano que música linda, que voz linda, que mv lindo eu to emocionada"
240,"Que produção!!! Áudio visual ,figurino ,etc 

Mauro sempre evoluindo"
241,"Resposta de saber ""Aonde Está Deus""... Magnífico"
242,"Dinastia Pitmonster na área!
Parabéns Mauro 👏🏽👏🏽👏🏽"
243,Cara só pode ser ateu quem da dislike....tem misericórdia Deus Deste povo.....não consigo para de cantar esse louvor.....que escencia esse louvor....lindo
244,"""Quem segue o Messias, automaticamente segue a lei! Hilel estava certo! Essa é a justiça de Deus!"
245,"Sou fã do talento que Deus deu à você, Mauro!"
246,"Como sempre, uma musica de qualidade!!!!!"
247,Meu Deus que musica é essa coisa maravilhosa demais revigora o coração
248,Maravilha maravilhoso 👍👍👍👍👍👍👍👍👍👍👍👍
249,Absurdamente emocionado.
